,GP  Games played,GS  Games started,MPG  Minutes Per Game,PPG  Points Per Game,FGM  Field Goals Made,FGA  Field Goals Attempted,FG%  Field Goal Percentage,3FGM  Three-Point Field Goals Made,3FGA  Three-Point Field Goals Attempted,3FG%  Three-Point Field Goal Percentage,FTM  Free Throws Made,FTA  Free Throws Attempted,FT%  Free Throw Percentage,Player,Position,Team
117,20,8,29.2,11.0,88,188,46.8,25,65,38.5,19,22,86.4,Bruce Brown,SF,DEN
118,19,19,27.6,11.0,95,159,59.7,0,0,—,19,35,54.3,Clint Capela,C,ATL
119,19,12,28.1,11.0,79,193,40.9,37,103,35.9,14,21,66.7,De'Anthony Melton,SG,PHI
120,20,20,24.0,10.9,79,186,42.5,22,82,26.8,37,48,77.1,Jalen Smith,PF,IND
121,21,16,26.3,10.9,78,161,48.4,39,86,45.3,34,38,89.5,Derrick White,SG,BOS
122,19,2,24.1,10.8,65,199,32.7,40,130,30.8,36,40,90.0,Tim Hardaway Jr.,SG,DAL
123,19,19,29.1,10.6,83,163,50.9,20,61,32.8,16,17,94.1,Ayo Dosunmu,PG,CHI
124,16,1,20.7,10.6,51,122,41.8,36,89,40.4,31,36,86.1,Kevin Love,PF,CLE
125,22,22,30.6,10.6,93,152,61.2,0,1,0.0,47,70,67.1,Ivica Zubac,C,LAC
126,16,16,28.6,10.5,59,133,44.4,12,44,27.3,38,52,73.1,Herbert Jones,SG,NO
127,19,0,20.9,10.5,76,160,47.5,38,92,41.3,10,16,62.5,Doug McDermott,SF,SA
128,17,15,28.8,10.4,66,164,40.2,30,92,32.6,15,18,83.3,Keegan Murray,PF,SAC
129,21,0,17.3,10.4,86,202,42.6,25,82,30.5,22,29,75.9,Jaylen Nowell,SG,MIN
130,19,7,28.5,10.3,60,114,52.6,21,53,39.6,54,58,93.1,Austin Reaves,SG,LAL
131,17,17,29.2,10.2,58,148,39.2,32,83,38.6,26,34,76.5,Mike Conley,PG,UTA
132,17,2,22.9,10.2,59,146,40.4,29,80,36.3,27,32,84.4,Josh Richardson,SG,SA
133,20,3,23.6,10.1,80,182,44.0,28,78,35.9,13,20,65.0,Tyus Jones,PG,MEM
134,21,0,19.7,10.0,73,153,47.7,51,114,44.7,13,15,86.7,Georges Niang,PF,PHI
